,Express Late OB,"Overall
Late OB        ",OB Time (hr),"B2C
Target
Gross","B2C
Order 
Proj.","B2C
Proj.
Net","排班
proj.","Actual 
Net Order","Actual
Order
Gap","Actual
Piece
Gap"
2019/1/22,12.6%,0.6%,4.2,,"13,000",,,"9,004",,
2019/1/23,5.8%,0.8%,3.5,,"9,000",,,"6,374",,
2019/1/24,8.1%,0.7%,2.7,,"15,000",,,"10,854",,
2019/1/25,2.9%,1.0%,3.1,,"7,000",,,"5,784",,
2019/1/26,3.5%,0.5%,2.0,,"7,000",,,"4,529",,
2019/1/27,2.5%,0.4%,1.8,,"7,000",,,"5,742",,
2019/1/28,53.0%,0.9%,2.2,,"8,000",,,"4,836",,
2019/1/29,1.5%,1.2%,4.3,,"9,000",,,"4,659",,
2019/1/30,1.2%,0.3%,1.7,,"9,000",,,"4,547",,
2019/1/31,0.2%,3.0%,2.1,,"9,000",,,"4,441",,
2019/2/1,0.6%,0.5%,2.4,,"6,000",,,"3,749",,
2019/2/2,1.7%,0.9%,2.1,,"5,622",,,"3,324",,
2019/2/3,0.0%,0.2%,2.0,,"5,944",,,"2,928",,
2019/2/4,36.1%,0.2%,1.8,,"3,850",,,"2,939",,
2019/2/5,4.2%,0.4%,3.6,,"4,100",,,"3,229",,
2019/2/6,1.3%,0.1%,1.8,,"4,827",,,"2,836",,
2019/2/7,0.2%,0.3%,1.6,,"3,472",,,"3,332",,
2019/2/8,1.7%,0.1%,1.8,,"4,241",,,"3,385",,
2019/2/9,0.6%,0.1%,2.0,,"3,910",,,"3,801",,
2019/2/10,0.0%,0.1%,2.0,,"3,583",,,"4,467",,
2019/2/11,1.3%,0.3%,1.6,,"12,000",,,"6,428",,
2019/2/12,0.4%,0.1%,1.9,,"11,000",,,"6,454",,
2019/2/13,0.3%,0.2%,1.6,,"4,000",,,"4,508",,
2019/2/14,0.0%,0.4%,1.6,,"8,000",,,"5,959",,
2019/2/15,0.0%,0.2%,1.6,,"7,500",,,"7,880",,
2019/2/16,0.1%,0.2%,2.1,,"3,500",,,"4,019",,
2019/2/17,1.3%,0.5%,1.6,,"3,800",,,"4,037",,
2019/2/18,0.5%,0.1%,1.8,,"7,500",,,"7,320",,
2019/2/19,0.6%,0.2%,2,,"7,500",,,"7,716",,
2019/2/20,0.7%,8.4%,2.1,,"9,000",,,"9,427",,
2019/2/21,0.5%,0.1%,1.9,,"4,500",,,"4,486",,
2019/2/22,2.2%,0.0%,2,,"4,500",,,"4,633",,
2019/2/23,0.0%,0.0%,2,,"3,500",,,"3,468",,
2019/2/24,0.6%,0.3%,2.1,,"3,800",,,"4,118",,
2019/2/25,0.5%,0.2%,2.2,,"4,500",,,"4,692",,
2019/2/26,0.7%,0.2%,1.9,,"4,500",,,"4,521",,
2019/2/27,1.0%,1.4%,1.7,,"4,500",,,"3,942",,
2019/2/28,0.2%,0.0%,2.5,,"3,500",,,"4,582",,
2019/3/1,0.8%,0.1%,1.3,,"4,500",,,"3,561",,
2019/3/2,0.8%,0.0%,1.4,,"4,000",,,"3,517",,
2019/3/3,0.0%,0.0%,1.4,,"4,000",,,"3,537",,
2019/3/4,2.7%,0.2%,2.0,,"7,500",,,"6,911",,
2019/3/5,0.4%,0.3%,1.7,,"6,000",,,"5,440",,
2019/3/6,0.6%,0.3%,1.5,,"5,500",,,"4,632",,
2019/3/7,1.3%,1.4%,2.2,,"5,500",,,"6,516",,
2019/3/8,0.1%,9.8%,3.8,,"4,500",,,"6,216",,
2019/3/9,0.8%,1.1%,10.3,,"4,000",,,"4,304",,
2019/3/10,2.4%,0.4%,2.5,,"4,000",,,"4,747",,
2019/3/11,0.8%,0.2%,1.7,,"6,000",,,"5,189",,
2019/3/12,1.4%,0.1%,2.3,,"6,000",,,"4,964",,
2019/3/13,0.7%,0.6%,1.2,,"5,500",,,"4,147",,
2019/3/14,0.5%,0.2%,1.7,,"5,500",,,"4,028",,
2019/3/15,0.6%,0.3%,1.6,,"6,500",,,"4,499",,
2019/3/16,1.8%,0.1%,1.7,,"6,500",,,"4,266",,
2019/3/17,0.0%,0.0%,1.9,,"6,500",,,"4,933",,
2019/3/18,2.1%,0.1%,2.2,,"8,000",,,"8,466",,
2019/3/19,3.5%,0.1%,2.1,,"7,500",,,"9,877",,
2019/3/20,0.5%,0.0%,1.6,,"6,000",,,"5,316",,
2019/3/21,0.7%,0.1%,1.3,,"6,500",,,"4,709",,
2019/3/22,1.0%,0.0%,1.7,,"4,500",,,"4,664",,
2019/3/23,0.0%,0.1%,1.7,,"4,000",,,"3,349",,
2019/3/24,0.0%,0.1%,1.4,,"4,000",,,"3,795",,
2019/3/25,0.2%,0.1%,1.3,,"7,000",,,"5,418",,
2019/3/26,0.4%,0.20%,1.9,,"6,000",,,"4,818",,
2019/3/27,0.7%,0.1%,1.6,,"5,500",,,"3,833",,
2019/3/28,0.0%,0.0%,1.3,,"5,500",,,"3,487",,
2019/3/29,0.6%,0.2%,1.3,,"4,500",,,"3,810",,
2019/3/30,0.6%,0.1%,1.2,,"4,000",,,"3,742",,
2019/3/31,0.0%,0.0%,1.7,,"4,000",,,"3,889",,
2019/4/1,0.0%,0.0%,1.5,,"6,000",,,"5,526",,
2019/4/2,0.2%,0.0%,1.3,,"5,500",,,"4,185",,
2019/4/3,9.5%,0.0%,1.6,,"5,000",,,"3,664",,
2019/4/4,0.0%,0.0%,2,,"4,500",,,"4,041",,
2019/4/5,1.8%,0.1%,1,,"4,500",,,"3,560",,
2019/4/6,5.9%,0.0%,1.2,,"4,000",,,"2,485",,
2019/4/7,0.0%,0.0%,1.3,,"4,000",,,"3,321",,
2019/4/8,0.4%,0.0%,1.5,,"6,500",,,"4,169",,
2019/4/9,0.6%,0.0%,2,,"5,500",,,"4,309",,
2019/4/10,0.2%,0.0%,1.6,,"5,000",,,"4,054",,
2019/4/11,0.0%,0.0%,1.7,,"5,000",,,"3,954",,
2019/4/12,0.2%,0.0%,3,,"5,500",,,"4,831",,
2019/4/13,0.0%,0.1%,1.7,,"4,500",,,"3,075",,
2019/4/14,21.6%,0.0%,1.7,,"4,000",,,"3,620",,
2019/4/15,2.6%,0.1%,2.9,,"5,281",,,"4,339",,
2019/4/16,0.9%,0.0%,2.1,,"8,437",,,"8,619",,
2019/4/17,0.3%,0.0%,3.5,,"6,433",,,"5,161",,
2019/4/18,1.6%,0.0%,1.9,,"9,051",,,"6,437",,
2019/4/19,1.9%,0.0%,2.1,,"9,235",,,"6,723",,
2019/4/20,0.0%,0.0%,1.8,,"3,231",,,"2,925",,
2019/4/21,0.0%,0.0%,1.2,,"4,088",,,"3,150",,
2019/4/22,0.0%,0.0%,1.6,,"5,381",,,"3,667",,
2019/4/23,0.0%,0.0%,1.8,,"4,812",,,"3,182",,
2019/4/24,1.0%,0.0%,1.4,,"4,173",,,"3,361",,
2019/4/25,0.6%,0.2%,1.4,,"4,103",,,"2,754",,
2019/4/26,3.9%,0.0%,4.4,,"4,256",,,"2,493",,
2019/4/27,0.0%,0.0%,1.3,,"3,479",,,"2,395",,
2019/4/28,0.0%,0.0%,1.2,,"3,958",,,"2,785",,
2019/4/29,0.5%,0.0%,1.5,,"4,461",,,"3,534",,
2019/4/30,0.0%,0.0%,1.9,,"8,451",,,"5,626",,
2019/5/1,0.0%,0.0%,1.4,,"4,508",,,"3,081",,
2019/5/2,1.7%,0.0%,1.4,,"4,527",,,"3,594",,
2019/5/3,0.4%,0.0%,1.8,,"4,327",,,"3,097",,
2019/5/4,0.0%,0.0%,1.4,,"3,537",,,"2,378",,
2019/5/5,0.0%,0.0%,1.8,,"4,636",,,"2,806",,
2019/5/6,0.5%,0.0%,1.9,,"6,090",,,"4,271",,
2019/5/7,13.4%,0.0%,2.7,,"8,001",,,"7,456",,
2019/5/8,0.8%,0.0%,2.6,,"5,905",,,"4,842",,
2019/5/9,0.7%,0.1%,2.6,,"8,037",,,"6,025",,
2019/5/10,0.4%,0.0%,2.3,,"4,813",,,"2,796",,
2019/5/11,0.0%,0.3%,1.7,,"3,249",,,"1,998",,
2019/5/12,0.0%,0.0%,1.2,,"3,740",,,"1,938",,
2019/5/13,0.1%,0.1%,1.9,,"3,543",,,"2,336",,
2019/5/14,0.1%,0.0%,1.7,,"3,491",,,"2,215",,
2019/5/15,1.4%,0.1%,1.8,,"3,350",,,"2,582",,
2019/5/16,0.0%,0.0%,1.4,,"3,351",,,"2,269",,
2019/5/17,5.2%,0.0%,3.1,,"5,987",,,"7,135",,
5/18,0.0%,0.0%,2.9,,"2,741",,,"2,527",,
5/19,0.0%,0.0%,2.2,,"3,248",,,"2,510",,
5/20,0.2%,0.0%,1.5,,"4,779",,,"3,035",,
5/21,0.5%,0.0%,1.6,,"4,723",,,"3,417",,
5/22,1.5%,0.0%,2.1,,"6,832",,,"4,182",,
5/23,0.0%,0.0%,1.4,,"3,631",,,"2,405",,
5/24,0.0%,0.0%,1.6,,"3,344",,,"2,361",,
5/25,0.0%,0.0%,1.4,,"3,145",,,"2,428",,
5/26,0.0%,0.0%,1.6,,"3,502",,,"2,217",,
5/27,0.5%,0.0%,1.9,,"3,770",,,"4,246",,
5/28,0.0%,0.0%,1.5,,"3,646",,,"3,359",,
5/29,1.6%,0.1%,1.7,,"3,713",,,"2,585",,
5/30,2.4%,0.1%,1.1,,"3,753",,,"4,568",,
5/31,0.5%,0.5%,1.4,,"3,380",,,"2,647",,
6/1,0%,0.1%,1.4,,"3,396",,,"1,856",,
6/2,0%,0%,1.6,,"3,717",,,"2,356",,
6/3,0%,0%,1.3,,"4,858",,,"2,514",,
6/4,0%,0%,1.4,,"3,760",,,"2,349",,
6/5,0.2%,0%,1.7,,"4,822",,,"2,932",,
6/6,0%,0%,1.2,,"8,584",,,"4,244",,
6/7,0%,0%,1.7,,"4,413",,,"3,432",,
AVG,0%,0%,1.5,,"4,793",,,"2,812",,
6/8,0%,0%,1.7,,"4,098",,,"2,690",,
6/9,1.1%,0%,2.0,,"4,454",,,"2,940",,
6/10,0.4%,0.1%,1.7,,"6,285",,,"4,400",,
6/11,0%,0%,1.8,,"5,010",,,"3,571",,
6/12,0.3%,0%,1.8,,"6,634",,,"4,413",,
6/13,0.4%,0%,1.4,,"5,137",,,"4,260",,
6/14,0.2%,0%,1.9,,"4,414",,,"3,218",,
AVG,0.36%,0%,1.7,,"5,147",,,"3,642",,
6/15,0.0%,0%,1.2,,"4,186",,,"2,558",,
6/16,0.0%,0%,1.4,,"4,798",,,"3,138",,
6/17,1.2%,0%,1.6,,"4,831",,,"3,682",,
6/18,1.0%,0%,1.5,,"15,439",,,"12,443",,
6/19,0.2%,0%,1.4,,"3,656",,,"3,706",,
6/20,0.5%,0%,1.6,,"4,074",,,"3,081",,
6/21,1.5%,0%,1.8,,"3,556",,,"2,793",,
AVG,0.62%,0%,1.5,,"5,791",,,"4,486",,
W-1,0.36%,0%,1.7,,"5,147",,,"3,642",,
