Date,,"IB 
(pcs)"
4/1,Thu,"22,000"
4/2,Fri,"12,000"
4/3,Sat,0
4/4,Sun,0
4/5,Mon,0
4/6,Tue,"22,000"
4/7,Wed,"22,000"
4/8,Thu,"22,000"
4/9,Fri,"12,000"
4/10,Sat,0
4/11,Sun,"22,000"
4/12,Mon,"22,000"
4/13,Tue,"22,000"
4/14,Wed,"22,000"
4/15,Thu,"22,000"
4/16,Fri,"12,000"
4/17,Sat,0
4/18,Sun,"22,000"
4/19,Mon,"22,000"
4/20,Tue,"22,000"
4/21,Wed,"22,000"
4/22,Thu,"22,000"
4/23,Fri,"12,000"
4/24,Sat,0
4/25,Sun,"22,000"
4/26,Mon,"22,000"
4/27,Tue,"22,000"
4/28,Wed,"22,000"
4/29,Thu,"22,000"
4/30,Fri,"12,000"
5/1,Sat,0
5/2,Sun,0
5/3,Mon,"86,000"
5/4,Tue,"86,000"
5/5,Wed,"34,000"
5/6,Thu,"69,000"
5/7,Fri,"86,000"
5/8,Sat,"73,000"
5/9,Sun,0
5/10,Mon,"86,000"
5/11,Tue,"86,000"
5/12,Wed,"86,000"
5/13,Thu,"86,000"
5/14,Fri,"86,000"
5/15,Sat,"73,000"
5/16,Sun,0
5/17,Mon,"86,000"
5/18,Tue,"52,000"
5/19,Wed,"69,000"
5/20,Thu,"86,000"
5/21,Fri,"86,000"
5/22,Sat,"73,000"
5/23,Sun,0
5/24,Mon,"86,000"
5/25,Tue,"86,000"
5/26,Wed,"86,000"
5/27,Thu,"86,000"
5/28,Fri,"86,000"
5/29,Sat,"73,000"
5/30,Sun,0
5/31,Mon,"86,000"
