cdate,working_code_l1,working_code_l2,working_code_l3,name,workers,total_hour
2022-05-30,INBOUND,ARRIVAL,ARRIVAL,收貨,1,4.1
2022-05-30,INBOUND,ARRIVAL,DOCK,碼頭收發,3,4.8
2022-05-30,INBOUND,COUNTING,COUNTING,進貨計數,12,45.6
2022-05-30,INBOUND,LABELING,LABELING,貼標,11,15.0
2022-05-30,INBOUND,LABELING,PRINT,印標,1,5.9
2022-05-30,INBOUND,MGMT,CONTROL,進貨控場,2,19.0
2022-05-30,INBOUND,OTHERS,ABNORMAL,進貨異常,1,9.8
2022-05-30,INBOUND,OTHERS,FIVES,進貨5S,14,17.5
2022-05-30,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,4.6
2022-05-30,INBOUND,PUTAWAY,SHELF,上架基架,6,10.4
2022-05-30,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,3,11.4
2022-05-30,INBOUND,QC,QC,品管,1,7.1
2022-05-30,INBOUND,RECEIVED,CONTROL,貴重驗收,1,1.1
2022-05-30,INBOUND,RECEIVED,SMALL,小驗,8,19.3
2022-05-31,INBOUND,ARRIVAL,ARRIVAL,收貨,1,3.7
2022-05-31,INBOUND,ARRIVAL,DOCK,碼頭收發,2,6.5
2022-05-31,INBOUND,COUNTING,COUNTING,進貨計數,12,34.1
2022-05-31,INBOUND,LABELING,LABELING,貼標,8,17.2
2022-05-31,INBOUND,LABELING,PRINT,印標,1,8.0
2022-05-31,INBOUND,MGMT,CONTROL,進貨控場,2,19.5
2022-05-31,INBOUND,OTHERS,ABNORMAL,進貨異常,2,16.7
2022-05-31,INBOUND,OTHERS,FIVES,進貨5S,12,9.2
2022-05-31,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,4.3
2022-05-31,INBOUND,PUTAWAY,SHELF,上架基架,8,11.7
2022-05-31,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,3,11.1
2022-05-31,INBOUND,QC,QC,品管,3,7.2
2022-05-31,INBOUND,RECEIVED,CONTROL,貴重驗收,1,3.8
2022-05-31,INBOUND,RECEIVED,SMALL,小驗,7,19.4
2022-06-01,INBOUND,ARRIVAL,ARRIVAL,收貨,1,5.6
2022-06-01,INBOUND,ARRIVAL,DOCK,碼頭收發,3,8.7
2022-06-01,INBOUND,COUNTING,COUNTING,進貨計數,9,32.5
2022-06-01,INBOUND,LABELING,LABELING,貼標,10,23.7
2022-06-01,INBOUND,LABELING,PRINT,印標,2,6.7
2022-06-01,INBOUND,MGMT,CONTROL,進貨控場,2,20.6
2022-06-01,INBOUND,OTHERS,ABNORMAL,進貨異常,1,9.8
2022-06-01,INBOUND,OTHERS,FIVES,進貨5S,11,6.8
2022-06-01,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.1
2022-06-01,INBOUND,PUTAWAY,SHELF,上架基架,10,10.2
2022-06-01,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,6.1
2022-06-01,INBOUND,QC,QC,品管,6,8.0
2022-06-01,INBOUND,RECEIVED,CONTROL,貴重驗收,1,0.1
2022-06-01,INBOUND,RECEIVED,SMALL,小驗,8,21.1
2022-06-02,INBOUND,ARRIVAL,ARRIVAL,收貨,1,8.0
2022-06-02,INBOUND,ARRIVAL,DOCK,碼頭收發,3,7.5
2022-06-02,INBOUND,COUNTING,COUNTING,進貨計數,7,30.4
2022-06-02,INBOUND,LABELING,LABELING,貼標,8,19.6
2022-06-02,INBOUND,LABELING,PRINT,印標,1,6.1
2022-06-02,INBOUND,MGMT,CONTROL,進貨控場,2,18.7
2022-06-02,INBOUND,OTHERS,ABNORMAL,進貨異常,1,10.0
2022-06-02,INBOUND,OTHERS,FIVES,進貨5S,8,6.9
2022-06-02,INBOUND,OTHERS,SECONDPROCESS,加工,1,1.4
2022-06-02,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.0
2022-06-02,INBOUND,PUTAWAY,SHELF,上架基架,11,10.3
2022-06-02,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,9.5
2022-06-02,INBOUND,QC,QC,品管,5,5.3
2022-06-02,INBOUND,RECEIVED,BULKY,箱賣,1,0.4
2022-06-02,INBOUND,RECEIVED,CONTROL,貴重驗收,1,3.2
2022-06-02,INBOUND,RECEIVED,SMALL,小驗,6,15.5
2022-06-03,INBOUND,ARRIVAL,DOCK,碼頭收發,1,1.6
2022-06-03,INBOUND,COUNTING,COUNTING,進貨計數,10,28.4
2022-06-03,INBOUND,LABELING,LABELING,貼標,7,23.2
2022-06-03,INBOUND,LABELING,PRINT,印標,1,5.0
2022-06-03,INBOUND,MGMT,CONTROL,進貨控場,3,25.1
2022-06-03,INBOUND,OTHERS,ABNORMAL,進貨異常,1,9.0
2022-06-03,INBOUND,OTHERS,FIVES,進貨5S,9,5.0
2022-06-03,INBOUND,OTHERS,SECONDPROCESS,加工,2,4.4
2022-06-03,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.8
2022-06-03,INBOUND,PUTAWAY,SHELF,上架基架,14,12.3
2022-06-03,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,3,3.8
2022-06-03,INBOUND,QC,QC,品管,3,7.2
2022-06-03,INBOUND,RECEIVED,CONTROL,貴重驗收,3,9.9
2022-06-03,INBOUND,RECEIVED,SMALL,小驗,9,19.0
