0,1,2,3,4,5,6
TTWK000529020,2022/3/28 9:39:52,2022/3/28 9:40:46,TRUE,0.8981333333,1,42471
TTWK000492832,2022/3/28 9:42:43,2022/3/28 9:46:31,TRUE,3.79405,1,42471
TTWK000529028,2022/3/28 9:46:50,,尚未完成,,1,42471
TTWK000522040,2022/3/28 9:47:24,2022/3/28 9:53:10,TRUE,5.774416667,1,118427
TTWK000529022,2022/3/28 9:47:39,2022/3/28 9:53:24,TRUE,5.7486,1,118427
TTWK000529019,2022/3/28 9:47:50,2022/3/28 9:52:45,TRUE,4.92795,1,118427
TTWK000492831,2022/3/28 9:48:10,2022/3/28 9:52:17,TRUE,4.11875,1,42471
TTWK000522044,2022/3/28 9:52:37,2022/3/28 9:55:24,TRUE,2.786733333,1,42471
TTWK000522041,2022/3/28 9:56:32,2022/3/28 9:58:07,TRUE,1.588233333,1,42471
TTWK000529021,2022/3/28 9:58:42,2022/3/28 10:02:21,TRUE,3.6482,1,42471
TTWK000529023,2022/3/28 9:59:11,2022/3/28 10:00:58,TRUE,1.780733333,1,89384
TTWK000529024,2022/3/28 10:01:07,2022/3/28 10:03:13,TRUE,2.100666667,1,89384
TTWK000522039,2022/3/28 10:03:11,2022/3/28 10:07:33,TRUE,4.372466667,1,42471
TTWK000529025,2022/3/28 10:03:27,2022/3/28 10:06:46,TRUE,3.3224,1,89384
TTWK000492830,2022/3/28 10:03:34,2022/3/28 10:07:43,TRUE,4.152233333,1,42471
TTWK000529018,2022/3/28 10:03:45,2022/3/28 10:07:56,TRUE,4.18725,1,42471
TTWK000529027,2022/3/28 10:05:10,2022/3/28 10:16:13,TRUE,11.0599,1,118427
TTWK000529026,2022/3/28 10:05:18,2022/3/28 10:16:02,TRUE,10.73518333,1,118427
TTWK000522043,2022/3/28 10:06:58,2022/3/28 10:09:06,TRUE,2.130016667,1,89384
TTWK000529031,2022/3/28 10:09:15,2022/3/28 10:12:59,TRUE,3.727083333,1,89384
TTWK000529030,2022/3/28 10:13:17,2022/3/28 10:15:20,TRUE,2.0485,1,89384
TTWK000529033,2022/3/28 10:13:54,2022/3/28 10:20:59,TRUE,7.0914,1,42471
TTWK000522046,2022/3/28 10:14:10,2022/3/28 10:20:43,TRUE,6.56205,1,42471
TTWK000522045,2022/3/28 10:14:25,2022/3/28 10:20:29,TRUE,6.068016667,1,42471
TTWK000529035,2022/3/28 10:15:37,2022/3/28 10:18:32,TRUE,2.923683333,1,89384
TTWK000529032,2022/3/28 10:16:32,2022/3/28 10:30:50,TRUE,14.2899,1,118427
TTWK000529029,2022/3/28 10:16:49,2022/3/28 10:30:36,TRUE,13.79395,1,118427
TTWK000529036,2022/3/28 10:18:44,2022/3/28 10:21:38,TRUE,2.902733333,1,89384
TTWK000529034,2022/3/28 10:21:20,2022/3/28 10:27:52,TRUE,6.532466667,1,42471
TTWK000522047,2022/3/28 10:22:06,2022/3/28 10:24:57,TRUE,2.840616667,1,89384
TTWK000522042,2022/3/28 10:24:32,2022/3/28 10:30:28,TRUE,5.930266667,1,118427
TTWK000529037,2022/3/28 10:25:14,2022/3/28 10:27:34,TRUE,2.344866667,1,89384
TTWK000522048,2022/3/28 10:27:45,2022/3/28 10:31:37,TRUE,3.866266667,1,89384
TTWK000522053,2022/3/28 10:30:12,2022/3/28 10:32:29,TRUE,2.282333333,1,42471
TTWK000522049,2022/3/28 10:31:53,2022/3/28 10:35:07,TRUE,3.24295,1,89384
TTWK000529042,2022/3/28 10:32:00,2022/3/28 10:37:28,TRUE,5.461416667,1,118427
TTWK000522057,2022/3/28 10:32:23,2022/3/28 10:40:12,TRUE,7.812783333,1,118427
TTWK000522055,2022/3/28 10:33:07,2022/3/28 10:34:30,TRUE,1.375166667,1,42471
TTWK000522050,2022/3/28 10:35:56,2022/3/28 10:37:27,TRUE,1.522016667,1,89384
TTWK000529040,2022/3/28 10:36:16,2022/3/28 10:36:30,TRUE,0.23455,1,42471
TTWK000529038,2022/3/28 10:37:36,2022/3/28 10:38:54,TRUE,1.294883333,1,89384
TTWK000522058,2022/3/28 10:39:14,2022/3/28 10:40:37,TRUE,1.3799,1,89384
TTWK000522056,2022/3/28 10:40:25,2022/3/28 10:42:09,TRUE,1.7293,1,118427
TTWK000492837,2022/3/28 10:40:51,2022/3/28 10:49:17,TRUE,8.433916667,1,89384
TTWK000522059,2022/3/28 10:43:31,2022/3/28 10:44:47,TRUE,1.265216667,1,118427
TTWK000492839,2022/3/28 10:49:46,2022/3/28 10:51:54,TRUE,2.134266667,1,89384
TTWK000522061,2022/3/28 10:52:31,2022/3/28 10:53:29,TRUE,0.9653833333,1,89384
TTWK000522060,2022/3/28 10:53:47,2022/3/28 10:55:32,TRUE,1.758233333,1,89384
TTWK000522064,2022/3/28 10:55:42,2022/3/28 10:57:01,TRUE,1.312333333,1,89384
TTWK000522065,2022/3/28 10:57:10,2022/3/28 10:58:17,TRUE,1.100916667,1,89384
TTWK000522063,2022/3/28 10:58:31,2022/3/28 10:59:13,TRUE,0.6965,1,89384
