Date,Inbound ID,拒收(pcs),實收(pcs)
2022-01-05 15:22:33.024,INTWK0002112300462,1,479
2022-01-13 15:58:45.984,INTWK0002201100127,12,72
2022-01-13 15:58:48.576,INTWK0002201070319,3,77
2022-01-19 00:00:00.000,INTWK0002201140205,12,24
2022-01-19 00:00:00.000,INTWK0002201140183,4,16
2022-01-19 00:00:00.000,INTWK0002201140189,8,12
2022-01-26 17:20:30.912,INTWK0002201210276,1,19
2022-01-27 00:00:00.000,INTWK0002201210188,1,29
2022-02-09 15:49:40.800,INTWK0002201270087,2,22
2022-02-09 15:49:42.528,INTWK0002201280139,1,4
2022-02-11 16:34:54.624,INTWK0002202090339,1,9
2022-02-11 16:34:57.216,INTWK0002202090522,2,13
2022-02-12 15:50:43.872,INTWK0002202110033,1,49
2022-02-12 15:50:49.056,INTWK0002202110031,1,59
2022-02-16 15:43:55.200,INTWK0002202110267,4,56
2022-02-16 15:44:07.296,INTWK0002202100816,1,4
2022-02-16 00:00:00.000,INTWK0002202100817,1,9
2022-02-25 17:15:14.688,INTWK0002202210427,30,150
2022-03-03 17:01:30.432,INTWK0002203010207,1,11
2022-03-03 17:01:30.432,INTWK0002203010206,1,11
2022-03-04 00:00:00.000,INTWK0002203010225,1,29
2022-03-11 00:00:00.000,INTWK0002203010180,1,2
2022-03-11 00:00:00.000,INTWK0002203040627,2,10
2022-03-15 19:02:19.392,INTWK0002203070430,6,4
2022-03-15 00:00:00.000,INTWK0002203090093,2,0
2022-03-16 15:49:06.240,INTWK0002203090110,1,4
2022-03-16 15:49:20.064,INTWK0002203110313,1,19
2022-03-16 15:49:20.064,INTWK0002203110371,12,36
2022-03-17 15:56:02.688,INTWK0002203100017,1,119
2022-03-19 15:31:17.472,INTWK0002203150141,1,19
2022-03-23 16:33:11.808,INTWK0002203210377,1,19
2022-03-25 09:20:38.112,INTWK0002203230162,9,0
2022-03-25 15:21:16.992,INTWK0002203220081,6,19
2022-03-28 15:33:35.712,INTWK0002203240819,12,36
2022-03-29 15:50:41.280,INTWK0002203230472,3,87
2022-03-29 15:51:08.064,INTWK0002203210425,12,138
2022-03-30 17:09:23.904,INTWK0002203250274,3,0
2022-03-30 17:09:51.552,INTWK0002203230642,1,9
2022-03-31 17:16:37.632,INTWK0002203280138,1,19
